Machine_ID,Temperature,Run_Time,Downtime_Flag
M004,22.0,6.96,0
M008,31.2,2.91,1
M018,27.0,10.42,0
M001,27.5,5.97,0
M020,22.1,5.17,0
M018,53.6,11.06,0
M009,84.8,0.65,0
M006,75.9,8.5,0
M005,37.2,18.44,0
M004,27.4,2.77,0
M012,68.3,19.47,0
M015,62.9,23.37,1
M013,26.3,7.39,0
M020,90.8,9.0,0
M007,76.4,1.58,0
M008,81.8,23.65,0
M008,89.3,9.43,1
M015,70.9,9.07,0
M012,48.4,16.25,0
M003,68.7,4.52,0
M008,33.1,9.42,0
M018,37.6,8.12,0
M002,38.3,1.25,0
M011,52.1,2.06,0
M019,90.1,7.89,1
M016,51.7,21.99,1
M015,31.4,3.78,0
M018,63.1,18.05,0
M014,91.8,9.89,1
M008,99.8,3.75,0
M016,27.3,1.61,0
M004,32.2,4.26,0
M014,67.7,9.54,0
M020,99.7,12.93,1
M018,88.9,0.77,1
M004,74.5,13.12,0
M009,81.5,8.49,1
M010,54.8,11.16,0
M009,97.8,18.41,1
M017,93.0,20.96,1
M010,87.3,12.43,0
M007,32.2,18.42,0
M018,96.3,22.18,0
M001,67.9,11.98,1
M004,94.3,21.15,0
M010,39.2,6.16,0
M019,95.8,2.51,1
M016,85.3,23.48,1
M018,81.3,3.52,1
M016,95.7,4.38,0
M017,89.8,10.44,1
M007,94.3,18.25,1
M007,77.0,9.88,1
M012,55.0,12.66,0
M004,39.8,2.0,0
M001,67.1,5.91,1
M008,20.6,17.13,0
M002,38.3,21.78,0
M011,25.7,6.09,0
M016,37.1,3.61,0
M019,66.1,6.21,0
M016,84.6,4.97,0
M004,72.7,8.83,0
M014,57.4,17.63,0
M004,24.8,17.61,0
M004,39.9,4.97,0
M015,31.2,4.81,0
M015,40.0,22.2,1
M015,84.6,20.62,0
M004,24.0,23.98,1
M001,97.5,22.27,1
M008,33.3,11.91,0
M007,89.2,21.71,0
M006,50.3,23.65,1
M009,94.1,18.95,1
M010,53.8,23.0,1
M018,72.9,11.94,0
M007,43.7,23.26,0
M019,78.9,1.93,0
M011,24.6,14.23,0
M017,93.6,12.98,1
M002,96.9,2.38,1
M006,25.5,2.1,0
M008,52.3,22.63,0
M019,39.7,14.47,0
M020,26.6,15.95,0
M019,61.8,22.47,1
M007,73.6,7.88,0
M009,51.7,16.28,0
M010,56.6,22.33,1
M003,20.7,15.1,0
M019,99.7,2.22,1
M007,60.5,3.61,0
M012,90.5,21.16,1
M012,42.8,10.8,0
